,IPC_CHL,FX_ARG,IPC_ARG,FX_ARG_BLUE,FX_PER,IPC_PER,FX_BOL,IPC_BOL,FX_BRA,IPC_BRA,FX_USA,IPC_USA,FX_CAN,IPC_CAN,FX_ESP,IPC_ESP,FX_FRA,IPC_FRA,FX_DEU,IPC_DEU,FX_GBR,IPC_GBR,FX_CHN,IPC_CHN,FX_AUS,IPC_AUS
2000-01-01,2.8,520.447619047619,,,148.70714285714286,79.1618539622357,,62.6303680784417,288.7395238095238,0.620058417686462,520.447619047619,169.3,359.48,100.0,528.3928571428571,100.0,528.3928571428571,100.0,528.3928571428571,100.0,853.7119047619047,1.2,62.86095238095238,-0.2,342.0895238095238,100.0
2000-02-01,3.3,512.8509523809523,,,148.32380952380953,79.29227963330962,,62.71333524617775,288.98809523809524,0.1301293160077759,512.8509523809523,170.0,353.8128571428571,100.22384350471933,505.3280952380952,100.28171991426082,505.3280952380952,100.13860185120716,505.3280952380952,100.11923728511071,821.695238095238,1.2,61.95285714285714,0.7,322.57428571428574,100.3640736570778
2000-03-01,3.4,504.3804347826087,,,146.92478260869566,79.42270530438354,,62.7963024139138,289.5978260869565,0.2199326456272769,504.3804347826087,171.0,345.6121739130435,100.44818806858468,487.1173913043479,100.56423348962257,487.1173913043479,100.27739580714592,487.1173913043479,100.23861674552305,797.1208695652174,1.0,60.92695652173913,-0.2,307.3739130434783,100.72947281043338
2000-04-01,3.5,508.0994736842105,,,146.11947368421053,79.55313097545746,,62.87926958164985,288.13473684210527,0.4201968815655889,508.0994736842105,170.9,346.6363157894737,100.67303481318444,481.8205263157895,100.84754296198658,481.8205263157895,100.41638213407695,481.8205263157895,100.35813855076292,805.2494736842106,0.9,61.37052631578947,-0.3,303.3884210526316,101.09620228584951
2000-05-01,3.6,521.6631818181818,,,148.94136363636363,79.6835566465314,,62.9622367493859,285.6190909090909,0.0099332609032985,521.6631818181818,171.2,349.2286363636363,100.89838486261756,473.0254545454545,101.13165057355324,473.0254545454545,100.55556109863006,473.0254545454545,100.47780287055852,787.1113636363636,1.0,63.01727272727273,0.1,301.5209090909091,101.46426692667838
2000-06-01,3.7,529.7375,,,151.965,79.81398231760532,,63.04520391712195,292.923,0.2303046104375749,529.7375,172.2,358.786,101.12423934349924,503.367,101.4165585728396,503.367,100.69493296780452,503.367,100.59760987484027,799.636,1.2,64.0005,0.5,313.8655,101.83367159390552
2000-07-01,3.8,542.745238095238,,,155.9690476190476,79.94440798867925,,63.128171084858,301.8109523809524,1.61028601156928,542.745238095238,172.7,367.6442857142857,101.35059938496646,511.0457142857143,101.70226921469728,511.0457142857143,100.83449800896972,511.0457142857143,100.71755973374133,819.3776190476191,1.2,65.55428571428571,0.5,319.1661904761905,102.20442116621405
2000-08-01,3.9,550.9945454545455,,,158.48227272727274,80.07483365975317,,63.21113825259405,305.1786363636364,1.30987065865344,550.9945454545455,172.7,371.8427272727273,101.5774661186838,499.47181818181815,101.98878476033023,499.47181818181815,100.97425648986562,499.47181818181815,100.83765261759758,821.4213636363637,1.0,66.54727272727273,0.3,319.98409090909087,102.57652054004907
2000-09-01,4.2,565.895,,,162.5427777777778,80.20525933082709,,63.2941054203301,308.48,0.2298283507108609,565.895,173.6,381.67333333333335,101.80484067884892,493.8594444444444,102.27610747731268,493.8594444444444,101.11420867860326,493.8594444444444,100.9578886969482,812.4205555555556,1.3,68.35555555555555,0.0,314.6844444444444,102.9499746296824
2000-10-01,4.5,567.8414285714285,,,162.2761904761905,80.33568500190103,,63.37707258806615,302.63952380952384,0.1398618189239599,567.8414285714285,173.9,376.0533333333333,102.03272420219838,485.3661904761905,102.56423963960708,485.3661904761905,101.2543548436653,485.3661904761905,101.07826814253552,824.6866666666666,1.4,68.59190476190477,0.0,300.4538095238095,103.32478836727734
